"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"下午 01:34:42.8297917","chrome.exe","49764","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 19,587,072, Working Set: 42,954,752"
"下午 01:34:42.8297996","chrome.exe","63820","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 13,705,216, Working Set: 21,389,312"
"下午 01:34:42.8298002","chrome.exe","119516","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 62,291,968, Working Set: 48,508,928"
"下午 01:34:42.8298008","chrome.exe","114700","Process Profiling","","SUCCESS","User Time: 7.7187500 seconds, Kernel Time: 0.8593750 seconds, Private Bytes: 173,867,008, Working Set: 235,606,016"
"下午 01:34:42.8298217","chrome.exe","51472","Process Profiling","","SUCCESS","User Time: 0.2968750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 52,670,464, Working Set: 93,356,032"
"下午 01:34:42.8298404","chrome.exe","23608","Process Profiling","","SUCCESS","User Time: 1.3906250 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 101,371,904, Working Set: 178,778,112"
"下午 01:34:42.8298488","chrome.exe","10516","Process Profiling","","SUCCESS","User Time: 20.6718750 seconds, Kernel Time: 0.9375000 seconds, Private Bytes: 331,853,824, Working Set: 382,091,264"
"下午 01:34:42.8298493","chrome.exe","54536","Process Profiling","","SUCCESS","User Time: 0.4375000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 68,829,184, Working Set: 140,627,968"
"下午 01:34:42.8298512","chrome.exe","56444","Process Profiling","","SUCCESS","User Time: 0.4062500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 91,648,000, Working Set: 165,359,616"
"下午 01:34:42.8298568","chrome.exe","82264","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 13,922,304, Working Set: 30,437,376"
"下午 01:34:42.8298573","chrome.exe","77024","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 28,057,600, Working Set: 58,556,416"
"下午 01:34:42.8298579","chrome.exe","39324","Process Profiling","","SUCCESS","User Time: 0.5156250 seconds, Kernel Time: 0.1250000 seconds, Private Bytes: 139,292,672, Working Set: 176,046,080"
"下午 01:34:43.5112478","chrome.exe","35816","TCP Receive","Cyborg15:52007 -> a865a9e11bc2c0d65.awsglobalaccelerator.com:https","SUCCESS","Length: 32, seqnum: 0, connid: 0"
